title,author,publisher,image_url,isbn,category
세이노의 가르침,세이노,데이원,https://image.aladin.co.kr/product/30929/51/cover500/k732831392_2.jpg,9791168473690,"['경제경영', '자기계발']"
제주탐묘생활,이신아,야옹서가,https://image.aladin.co.kr/product/30872/82/cover500/s412832889_1.jpg,9791191179163,"['건강/취미', '에세이']"
반지의 제왕 일러스트 특별판,존 로날드 로웰 톨킨,arte(아르테),https://image.aladin.co.kr/product/30818/49/cover500/s072831276_1.jpg,9788950922382,['소설/시/희곡']
스즈메의 문단속,신카이 마코토,대원씨아이(단행본),https://image.aladin.co.kr/product/30876/42/cover500/k892831289_1.jpg,9791169791977,['소설/시/희곡']
거인의 노트,김익한,다산북스,https://image.aladin.co.kr/product/31273/7/cover500/k542832564_1.jpg,9791130697529,['자기계발']
김미경의 마흔 수업,김미경,어웨이크북스,https://image.aladin.co.kr/product/30995/11/cover500/k672831500_2.jpg,9791198013026,['자기계발']
도쿄 리벤저스 30,와쿠이 켄,학산문화사(만화),https://image.aladin.co.kr/product/31311/33/cover500/k782832785_1.jpg,9791169478410,['만화']
"살 때, 팔 때, 벌 때",강영현,21세기북스,https://image.aladin.co.kr/product/31166/14/cover500/8950960664_1.jpg,9788950960667,['경제경영']
전지적 독자 시점 9,슬리피-C,에이템포미디어,https://image.aladin.co.kr/product/31288/34/cover500/k292832574_1.jpg,9791169630795,['만화']
파쇄,구병모,위즈덤하우스,https://image.aladin.co.kr/product/31273/29/cover500/k592832565_1.jpg,9791168127012,['소설/시/희곡']
사이토 히토리의 1퍼센트 부자의법칙,사이토 히토리,나비스쿨,https://image.aladin.co.kr/product/31035/98/cover500/k582831511_1.jpg,9791197389450,"['경제경영', '자기계발']"
내면소통,김주환,인플루엔셜(주),https://image.aladin.co.kr/product/31189/93/cover500/s512831358_1.jpg,9791168340855,['인문학']
고양이 해결사 깜냥 5,홍민정,창비,https://image.aladin.co.kr/product/31192/21/cover500/8936448374_1.jpg,9788936448370,['어린이']
슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/30936/61/cover500/k022831493_3.jpg,9791169794930,['만화']
트러스트,에르난 디아스,문학동네,https://image.aladin.co.kr/product/31180/30/cover500/8954691676_1.jpg,9788954691673,['소설/시/희곡']
조셉 머피 잠재의식의 힘,조셉 머피,다산북스,https://image.aladin.co.kr/product/31132/90/cover500/k432831944_1.jpg,9791130642116,['자기계발']
이상한 과자 가게 전천당 17,히로시마 레이코,길벗스쿨,https://image.aladin.co.kr/product/31313/67/cover500/k722832881_1.jpg,9791164065097,['어린이']
K 배터리 레볼루션,박순혁,지와인,https://image.aladin.co.kr/product/30936/61/cover500/k012831493_3.jpg,9791191521221,['경제경영']
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS (엮은이),(주)YBM(와이비엠),https://image.aladin.co.kr/product/28415/36/cover500/8917238548_2.jpg,9788917238549,['외국어']
해커스 토익 기출 보카 TOEIC VOCA 단어장,David Cho,해커스어학연구소(Hackers),https://image.aladin.co.kr/product/17602/13/cover500/s602636930_3.jpg,9788965422785,['외국어']
원씽 The One Thing (리커버 특별판),"게리 켈러, 제이 파파산",비즈니스북스,https://image.aladin.co.kr/product/12081/24/cover500/k592531249_1.jpg,9788997575169,['자기계발']
아버지의 해방일지,정지아,창비,https://image.aladin.co.kr/product/30048/51/cover500/8936438832_2.jpg,9788936438838,"['소설/시/희곡', '추천도서']"
설민석의 한국사 대모험 24,"설민석, 스토리박스",단꿈아이,https://image.aladin.co.kr/product/31196/25/cover500/k362831059_1.jpg,9791198179913,['어린이']
챗GPT,반병현,생능북스,https://image.aladin.co.kr/product/31016/62/cover500/k882831410_3.jpg,9791192932057,"['경제경영', '자기계발', '컴퓨터/모바일']"
조선 미술관,탁현규,블랙피쉬,https://image.aladin.co.kr/product/31132/76/cover500/896833417x_1.jpg,9788968334177,"['역사', '예술/대중문화']"
ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),ETS (엮은이),(주)YBM(와이비엠),https://image.aladin.co.kr/product/28415/31/cover500/891723853x_2.jpg,9788917238532,['외국어']
스즈메의 문단속 (스페셜 에디션),신카이 마코토,대원씨아이(단행본),https://image.aladin.co.kr/product/30876/44/cover500/k962831280_2.jpg,9791169791991,['소설/시/희곡']
"2023 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성,이투스북,https://image.aladin.co.kr/product/30684/57/cover500/k042830232_1.jpg,9791138911726,['수험서/자격증']
서울대생의 비밀과외,소린TV(안소린),다산에듀,https://image.aladin.co.kr/product/31274/72/cover500/k502832660_1.jpg,9791130697550,['청소년']
세상은 실제로 어떻게 돌아가는가,바츨라프 스밀,김영사,https://image.aladin.co.kr/product/31192/81/cover500/893495096x_2.jpg,9788934950967,"['과학', '사회과학', '인문학']"
환상서점,소서림,해피북스투유,https://image.aladin.co.kr/product/31098/15/cover500/k152831533_1.jpg,9791164798926,['소설/시/희곡']
진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,https://image.aladin.co.kr/product/28819/83/cover500/k152836497_3.jpg,9791191600704,"['자기계발', '컴퓨터/모바일']"
슬램덩크 신장재편판 17,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/17214/23/cover500/k532534992_1.jpg,9791133487677,['만화']
